시도경찰청,위치,경찰서명칭,경찰서주소,위도,경도
부산광역시경찰청,부산광역시,부산중부경찰서,중구 중앙대로 105,35.107276, 129.035798
부산광역시경찰청,부산광역시,부산동래경찰서,동래구 명륜로 70,35.200555, 129.084713
부산광역시경찰청,부산광역시,부산영도경찰서,영도구 태종로 46,35.094144, 129.036647
부산광역시경찰청,부산광역시,부산동부경찰서,동구 중앙대로 387,35.130019, 129.049262
부산광역시경찰청,부산광역시,부산진경찰서,부산진구 부전로111번길 6,35.160199, 129.054486
부산광역시경찰청,부산광역시,부산서부경찰서,서구 대영로 16,35.109917, 129.013420
부산광역시경찰청,부산광역시,부산남부경찰서,남구 황령대로319번가길 81,35.153095, 129.089651
부산광역시경찰청,부산광역시,부산해운대경찰서,해운대구 해운대로 129,35.186499, 129.121919
부산광역시경찰청,부산광역시,부산사상경찰서,사상구 학감대로 264,35.154422, 128.990970
부산광역시경찰청,부산광역시,부산금정경찰서,금정구 중앙대로 1819,35.247247, 129.091852
부산광역시경찰청,부산광역시,부산사하경찰서,사하구 을숙도대로 665,35.085726, 128.978263
부산광역시경찰청,부산광역시,부산연제경찰서,연제구 토곡로 26,35.182861, 129.104599
부산광역시경찰청,부산광역시,부산강서경찰서,강서구 명지둑길 645,35.116554, 128.906369
부산광역시경찰청,부산광역시,부산북부경찰서,북구 화명신도시로 63,35.230179, 129.009395
부산광역시경찰청,부산광역시,부산기장경찰서,기장군 일광면 기장대로 692,35.256389, 129.224946
